X,Y,objectid,name,address,city,zipcode,phone,class,function,num_beds,county,comment,id,longitude,latitude
-157.944997298279844,21.387813824130614,21,KAPIOLANI MED CTR AT PALI MOMI,98-1079 MOANALUA ROAD,AIEA,96701-4713,() -,EFHM,Hospital,75,15003,0006950001,20,-157.945,21.3878
-158.035696920827775,21.366613839590723,22,QUEEN'S MEDICAL CTR-WEST OAHU,91-2141 FORT WEAVER ROAD,EWA BEACH,96706,(808) 678-7000,EFHM,Hospital,87,15003,0006950002,21,-158.0357,21.3666
-159.364805615817716,21.98614570239117,23,WILCOX MEM HOSPITAL,3420 KUHIO HIGHWAY,LIHUE,96766,(808) 245-1100,EFHL,Hospital,177,15007,0006950190,22,-159.364818,21.986139
-159.670627972813975,21.960695650614994,24,KAUAI VETERANS MEM HOSPITAL,WAIMEA CANYON ROAD,WAIMEA,96796,(808) 338-9431,EFHS,Hospital,49,15007,0006950200,23,-159.670636,21.960687
-159.312872132623994,22.087550235063794,25,SAMUEL MAHELONA MEMORIAL HOSP,4800 KAWAIHAU ROAD,KAPAA,96746-1998,(808) 822-4961,EFHM,Hospital,82,15007,0006950170,24,-159.312887,22.087542
-156.357379730409093,20.701214649766271,26,KULA HOSPITAL,204 KULA HIGHWAY,KULA,96790-9499,(808) 878-1221,EFHM,Hospital,105,15009,0006950275,25,-156.357379,20.701205
-156.489549623941599,20.884687517413941,27,MAUI MEMORIAL HOSPITAL,221 MAHALANI STREET,WAILUKU,96793-2581,(808) 244-9056,EFHL,Hospital,203,15009,0006950290,26,-156.489545,20.884676
-157.017318084038152,21.093872268601594,28,MOLOKAI GENERAL HOSPITAL,280-A PUALI STREET,KAUNAKAKAI,96748,(808) 553-5331,EFHS,Hospital,30,15009,0006950295,27,-157.017306,21.093861
-156.917121679622937,20.826050893930066,29,LANAI COMMUNITY HOSPITAL,628 SEVENTH STREET,LANAI CITY,96763-0797,(808) 565-6411,EFHS,Hospital,14,15009,0006950240,28,-156.917111,20.82604
-155.469669258192056,20.076965579630045,30,HONOKAA HOSPITAL,45-547 PLUMERIA STREET,HONOKAA,96727-0237,(808) 775-7211,EFHM,Hospital,50,15001,0006950055,29,-155.46967,20.07696
